PatriciaTrie Benchmark (en nanoseconde)
________________________________________________________________________________
file                 | build    | insert | search | delete | fusion | nbword | deep  
lll.txt              | 57891455 | 9449   | 29703  | 15215  | 27875  | 3637   | 9     
comedy_errors.txt    | 24497767 | 8782   | 7415   | 5839   | 18578  | 2438   | 9     
richardii.txt        | 43924323 | 52752  | 21784  | 19852  | 23859  | 3513   | 9     
twelfth_night.txt    | 44269179 | 26236  | 20255  | 17552  | 22595  | 3030   | 10    
merchant.txt         | 29150580 | 7534   | 9213   | 5854   | 14701  | 3160   | 9     
merry_wives.txt      | 36275615 | 8308   | 9396   | 6195   | 13831  | 3188   | 9     
henryv.txt           | 38860574 | 9666   | 10039  | 5838   | 15188  | 4393   | 10    
1henryiv.txt         | 34324652 | 13314  | 9274   | 6238   | 14701  | 3723   | 9     
2henryiv.txt         | 32915242 | 26504  | 20391  | 20524  | 45069  | 3963   | 10    
1henryvi.txt         | 24971266 | 6039   | 18191  | 6584   | 27960  | 3725   | 9     
3henryvi.txt         | 30482340 | 3901   | 7319   | 4864   | 15777  | 3448   | 9     
measure.txt          | 10376005 | 16019  | 14214  | 11232  | 13279  | 3229   | 9     
othello.txt          | 13050573 | 7234   | 8591   | 5695   | 12868  | 3665   | 9     
taming_shrew.txt     | 14196787 | 3110   | 7098   | 4876   | 10709  | 3149   | 9     
tempest.txt          | 7601510  | 4119   | 7369   | 4813   | 15225  | 3084   | 9     
macbeth.txt          | 10103082 | 3522   | 8106   | 5055   | 11322  | 3204   | 9     
asyoulikeit.txt      | 9996124  | 5469   | 9605   | 5679   | 18200  | 3170   | 10    
allswell.txt         | 11377734 | 3838   | 7457   | 4863   | 11078  | 3388   | 9     
hamlet.txt           | 18337832 | 3501   | 22732  | 5705   | 15637  | 4554   | 9     
julius_caesar.txt    | 11340219 | 3433   | 38587  | 5048   | 11364  | 2793   | 9     
much_ado.txt         | 11505888 | 3297   | 4016   | 6056   | 33809  | 2907   | 10    
coriolanus.txt       | 16950298 | 3138   | 4217   | 6060   | 18038  | 3883   | 10    
romeo_juliet.txt     | 11980527 | 4094   | 6142   | 5753   | 14741  | 3545   | 9     
timon.txt            | 9093252  | 3340   | 4384   | 4738   | 10759  | 3187   | 10    
winters_tale.txt     | 12660938 | 3670   | 4074   | 4930   | 11254  | 3714   | 9     
pericles.txt         | 9844061  | 3528   | 4056   | 4818   | 10596  | 3144   | 9     
john.txt             | 9631792  | 3222   | 4319   | 4729   | 11293  | 3437   | 10    
2henryvi.txt         | 12402962 | 3183   | 4376   | 4901   | 24836  | 3935   | 10    
richardiii.txt       | 17333786 | 5147   | 6510   | 5865   | 65717  | 3896   | 9     
henryviii.txt        | 11402990 | 2466   | 3640   | 4555   | 8289   | 3515   | 10    
troilus_cressida.txt | 13132374 | 3949   | 4745   | 5337   | 10503  | 4119   | 9     
midsummer.txt        | 7657088  | 2399   | 3587   | 4688   | 8584   | 2914   | 9     
cymbeline.txt        | 13516293 | 4269   | 5151   | 5122   | 10460  | 4057   | 10    
lear.txt             | 12531176 | 4078   | 5222   | 5224   | 10803  | 4007   | 9     
cleopatra.txt        | 12261242 | 3502   | 4907   | 25402  | 10877  | 3782   | 9     
titus.txt            | 12677721 | 3243   | 4128   | 4856   | 9640   | 3306   | 9     
two_gentlemen.txt    | 9660536  | 2230   | 3728   | 5245   | 25263  | 2638   | 9     
________________________________________________________________________________
